quality_gap,records,base_accuracy,finetuned_accuracy,accuracy_delta,base_margin,finetuned_margin,margin_delta
1,1804,0.48725055432372505,0.856430155210643,0.369179600886918,0.2340411040312435,5.603519955654102,5.369478851622858
2,1353,0.50849963045085,0.9460458240946046,0.4375461936437546,0.49900487997050824,11.3349963045085,10.835991424537992
3,902,0.5199556541019955,0.9567627494456763,0.4368070953436808,0.7487606632207291,17.002771618625278,16.25401095540455
4,451,0.5277161862527716,0.9578713968957872,0.43015521064301554,0.9365585056482556,22.414634146341463,21.478075640693206
